127.0.0.1 - - [14/Aug/2024:19:53:53 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [14/Aug/2024:19:53:56 -0300] "GET /OlaMundo/formulario/resposta1.jsp HTTP/1.1" 500 2227
0:0:0:0:0:0:0:1 - - [14/Aug/2024:19:53:56 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [14/Aug/2024:19:54:06 -0300] "GET /OlaMundo/formulario/formulario1.jsp HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [14/Aug/2024:19:54:14 -0300] "POST /OlaMundo/formulario/resposta.jsp HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [14/Aug/2024:19:54:33 -0300] "POST /OlaMundo/formulario/resposta.jsp HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [14/Aug/2024:19:54:36 -0300] "POST /OlaMundo/formulario/resposta.jsp HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [14/Aug/2024:19:55:07 -0300] "GET /OlaMundo/formulario/formulario1.jsp HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [14/Aug/2024:19:55:12 -0300] "POST /OlaMundo/formulario/resposta1.jsp HTTP/1.1" 500 2227
0:0:0:0:0:0:0:1 - - [14/Aug/2024:19:59:54 -0300] "GET /OlaMundo/formulario/formulario1.jsp HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [14/Aug/2024:20:00:01 -0300] "POST /OlaMundo/formulario/resposta1.jsp HTTP/1.1" 500 2227
0:0:0:0:0:0:0:1 - - [14/Aug/2024:20:00:24 -0300] "GET /OlaMundo/formulario/formulario1.jsp HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [14/Aug/2024:20:00:28 -0300] "POST /OlaMundo/formulario/resposta1.jsp HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [14/Aug/2024:20:18:30 -0300] "GET /OlaMundo/formulario/futebol/formulario.jsp HTTP/1.1" 200 703
0:0:0:0:0:0:0:1 - - [14/Aug/2024:20:18:45 -0300] "POST /OlaMundo/formulario/futebol/resposta.jsp HTTP/1.1" 500 2282
0:0:0:0:0:0:0:1 - - [14/Aug/2024:20:22:24 -0300] "POST /OlaMundo/formulario/futebol/resposta.jsp HTTP/1.1" 500 2282
0:0:0:0:0:0:0:1 - - [14/Aug/2024:20:30:15 -0300] "GET /OlaMundo/formulario/futebol/formulario.jsp HTTP/1.1" 200 703
0:0:0:0:0:0:0:1 - - [14/Aug/2024:20:30:23 -0300] "POST /OlaMundo/formulario/futebol/resposta.jsp HTTP/1.1" 500 2282
0:0:0:0:0:0:0:1 - - [14/Aug/2024:20:31:56 -0300] "POST /OlaMundo/formulario/futebol/resposta.jsp HTTP/1.1" 500 2268
